State,Amphibians,Arachnids,Birds,Clams,Conifers and Cycads,Crustaceans,Ferns and Allies,Fishes,Flowering Plants,Insects,Lichens,Mammals,Reptiles,Snails,Species_Count,Pop_2024,GDP_2024_Millions,Risk_Overall,Risk_Wildfire,Risk_Drought,Risk_Flooding,Area_sqkm,Forest_Pct,Urban_Pct,Crop_Pct,Wetland_Pct,Protected_Area_sqkm,Protected_Pct,Species_Density,Population_Density,GDP_Per_Capita,Human_Pressure,Conservation_Effectiveness,Ecological_Vulnerability,Biodiversity_Risk
Alabama,3,0,5,63,0,2,3,16,22,1,0,6,10,13,144,5157699,321238.0,62.5,Relatively Low,Relatively Moderate,Relatively Moderate,135767.38318800554,75.75585207734709,1.175722443367913,3.870626678653624,0.1189965981663814,2457.7822998388524,1.8102892183135093,0.001060637662881034,37.9892348139156,62283.200318591684,1.7537774882032953,1.8102892183135093,32.62596110980625,17.935535286853156
Alaska,0,0,4,0,0,0,1,0,0,0,0,3,0,0,8,740133,69969.0,28.57142857142857,Relatively Moderate,Very Low,Very Low,1724321.7106528897,25.612447121721573,0.0142779950943144,0.0002213384640832,5.480530896390295,613252.1743702673,35.56483518020939,4.639505465004506e-06,0.42923138729127247,94535.71182476664,0.0,35.56483518020939,33.749120690583254,1.8081318658257337
Arizona,2,0,9,0,0,0,0,20,26,0,0,10,6,2,75,7582384,552167.0,83.92857142857143,Relatively High,Relatively Low,Relatively High,295219.8723924367,14.839221584133057,1.314016602576639,1.155473232618753,0.0006178857987538,42073.445824134236,14.251562905699611,0.00025404793854900883,25.683853659826507,72822.34716680137,1.7511091322863124,14.251562905699611,59.513867076961645,19.788474912822842
Arkansas,1,0,5,13,0,2,0,4,5,1,0,4,1,0,36,3088354,188723.0,48.214285714285715,Relatively Low,Relatively Moderate,Relatively Moderate,137782.72532558523,61.27479822263632,0.8882579850229904,18.3399037175752,0.0404261144999563,7172.7068434694775,5.205809963854416,0.0002612809400810645,22.414667678419885,61107.955888476514,1.2405662971983205,5.205809963854416,31.16975221443029,12.103813422449813
California,15,0,16,0,3,8,0,19,172,25,0,24,9,1,292,39431263,4103124.0,100.0,Very High,Very High,Very High,423965.3603894494,33.83271581415749,3.2080104188682115,5.232799918499833,0.1434948029263205,99500.28926310793,23.46896670324863,0.0006887355130423211,93.00586011031402,104057.63568871735,4.687575560496363,23.46896670324863,60.81258838141322,24.040236596221114
Colorado,0,0,7,0,0,0,0,5,17,3,0,5,0,0,37,5957493,553323.0,55.35714285714286,Relatively High,Relatively Moderate,Relatively Moderate,269604.54232285504,28.539765682383717,0.9974052079306924,11.35677852014016,0.0009238228191395,28931.4140132144,10.73105585089462,0.00013723804384457294,22.097153663182063,92878.49771707664,1.3568817570213836,10.73105585089462,43.880149000521236,12.838017539773583
Connecticut,0,0,3,1,0,0,0,0,2,1,0,2,3,0,12,3675069,365723.0,37.5,Very Low,Very Low,Relatively Moderate,14358.115617270274,73.86421670040853,3.8658691400768337,1.4279833991192108,0.5534275457427936,627.7921059490074,4.372385086479485,0.0008357642687851129,255.95761295998633,99514.59414775614,7.466861223947705,4.372385086479485,24.00049573190049,12.273007786302475
Delaware,0,0,3,1,0,0,0,0,5,0,0,2,3,0,14,1051917,103253.0,16.071428571428573,Very Low,Relatively Low,Relatively Low,6445.911467445853,35.189683026743865,4.025170628935261,22.773340336637656,4.6171953353570006,428.6941512907779,6.650636662570311,0.00217191937411877,163.19135087606386,98156.98386849913,6.473095607265646,6.650636662570311,27.079217709228846,9.038027557852347
District of Columbia,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,702250,186165.0,10.714285714285714,Very Low,No Expected Annual Losses,Relatively Low,177.02595526618634,37.73212534359689,45.37212617681991,0.0175596585094018,0.1620136727764522,1.7331529898492828,0.9790389139509033,0.016946667484375545,3966.9324136342425,265097.8996084016,100.0,0.9790389139509033,36.577714535681196,61.923359166407444
Florida,2,0,13,15,1,2,1,1,64,5,1,17,11,1,134,23372215,1705565.0,96.42857142857144,Relatively High,Relatively Low,Relatively High,184934.30899977082,47.90417296270556,4.221452141512644,2.957840294401979,7.952493813682373,30501.33045162584,16.49306211302503,0.0007245816134645198,126.38117354432576,72974.04204094477,6.225452607561747,16.49306211302503,55.466612325070706,24.651000563111005
Georgia,2,0,6,18,1,0,3,8,25,0,1,4,6,2,76,11180878,882535.0,80.35714285714286,Relatively Low,Relatively Moderate,Relatively Moderate,153904.99082837155,72.25145745220301,1.935568967473244,7.605969458240297,0.9995546606321272,8365.580152512302,5.435548325941716,0.0004938111466752371,72.64792350020963,78932.53105883098,3.0282827859562116,5.435548325941716,41.04809059743821,21.024023155416458
Hawaii,0,1,24,0,0,3,23,0,402,28,0,1,4,4,490,1446146,115627.0,35.714285714285715,Relatively Moderate,Very Low,Relatively Moderate,28411.798465956435,24.08648603198177,1.347983262664018,0.0172855301901776,0.0590949063376697,7945.986492141241,27.967207009659294,0.017246356318735945,50.89948817329533,79955.27422542399,2.1064093452002575,27.967207009659294,37.46416345491896,40.260092713422594
